#HDR:lifnr,matnr,maktx
"0000500031","1-02-0244-5013","TORNILLO FILLISTER 8-32 UNC-2A X 3/8 NIQ"
"0000500031","1-02-0260-5006","GANCHO P/CONTRAPESO DESAGÜE AUTO. TINA"
"0000500031","1-02-0266-5006","RONDANA ESTRIADA VARILLA DES. AUTO. TINA"
"0000500031","1-02-0274-5013","TORNILLO PHILLIPS  8-32 UNC-2A X 9/16"""
"0000500031","1-02-0275-5013","TORNILLO PHILLIPS OVAL 10-24 UNC-2Ax3/4"""
"0000500031","1-02-0285-5006","TUERCA AJUSTE TAPÓN DESAGÜE AUTOM. TINA"
"0000500031","1-02-0399-5013","TORNILLO PHILLIPS OVAL 8-32 UNC-2A X 1"""
"0000500031","1-02-0529-5013","TORNILLO CAB. GOTA 8-32 UNC x 1"""
"0000500031","1-02-0547-5013","TORNILLO 10-24 UNC-2A X 1-1/16"""
"0000500031","1-02-1074-5013","TORNILLO ALLEN AC. INOX. 3/16"" X 1/2"""
"0000500031","1-02-1079-5013","TORNILLO ALLEN 10-24 UNC-2A X 5/8"""
"0000500031","1-02-1130-5013","TORNILLO PHILLIPS 8-32 X 1 11/16"""
"0000500031","1-02-1227-5006","TUERCA HEX. NO.10-24 NC"
"0000500031","1-02-1272-5013","TORNILLO 8-32 UNC-2A X 1¾"""
"0000500031","1-02-1535-5013","TORNILLO  1/4-20 X 1-1/2""  ACERO INOX."
"0000500031","1-02-1749-5013","TORNILLO PHILIPS 8-32 UNC-2AX1/4"""
"0000500031","1-02-1820-5013","ESPARRAGO P/SUJECION DE CHAP. CDA. 10-24"
"0000500031","1-02-2029-5013","TORNILLO No. 10-24 X 0.406"""
"0000500031","1-02-2048-5013","TORNILLO RANURADO CDA. M3 x 0.5"
"0000500031","1-02-2052-5013","TORNILLO CABEZA HEXAGONAL RANURADA 10-2"
"0000500031","1-02-2186-5013","TORNILLO FILLISTER 8-32 UNC-2A"
"0000500031","1-02-2964-5013","TORNILLO PHILLIPS 8-32 X 0.430"""
"0000500031","1-03-0009-5013","TORNILLO 8-32 UNC-2A X 1/4"""
"0000500031","1-03-0042-5013","PIJA PAN COMBINADO 10-16 AB x 2"""
"0000500031","1-03-0047-5013","TORNILLO 8-32 UNC-2A X 3/8"" BASE SOL.110"
"0000500031","1-03-0119-5013","TORNILLO AUT.TIPO ""AB"""
"0000500031","1-03-0304-5013","TORNILLO 10-24 UNC-2A X 3/8"""
"0000500031","1-03-0316-5006","TUERCA NO.8-32NCX3/8 LAT."
"0000500031","1-03-0610-5013","TORNILLO ALLEN 8-32 X 1"" AC. INOX."
"0000500031","1-03-0637-5013","TORNILLO ALLEN 8-32 X 5/16"""
"0000500031","1-03-0640-5013","OPRESOR ALLEN 10-24 UNC 2A X ¼"" INOX."
"0000500031","1-03-0656-5006","ARANDELA DE PRESIÓN NO.8"
"0000500031","1-03-0667-5006","RONDANA PRESIÓN NO.10"
"0000500031","1-03-0681-5013","TORNILLO NO. 8-32 P/ACCESORIOS"
"0000500031","1-03-0688-5013","TORNILLO 8-32 X 3/4"" ALLEN"
"0000500031","1-03-0764-5013","TORNILLO ALLEN AC. INOX. 10-24 X 3/4"""
"0000500031","1-03-0775-5013","PIJA 10-16 X 1-1/2"" AC. INOX."
"0000500031","1-03-0775-5051","PIJA 10-16 X 1-1/2"" AC. INOX."
"0000500031","1-03-0776-5013","TORNILLO RONDANA HEXAGONAL"
"0000500031","1-03-0779-5013","TORNILLO ALLEN 2-56"
"0000500031","1-03-0790-5013","TORNILLO ALLEN 10-24 X 3/8"
"0000500031","1-03-0796-5013","OPRESOR ALLEN  AC. INOX. 8-32 X 1/2"""
"0000500031","1-03-0797-5020","RONDANA"
"0000500031","1-03-0829-5013","TORNILLO 5-40 X 0.45"" LONG."
"0000500031","1-03-0858-5013","TORNILLO 10-24 X 2.60"""
"0000500031","1-03-0859-5013","TORNILLO 10-24 X 1.75"""
"0000500031","1-03-0906-5013","TORNILLO 8-32 X 2"""
"0000500031","1-03-0917-5013","PIJA 10-16 TIPO AB X 2"" AC. INOX."
"0000500031","1-03-1061-5013","TORNILLO SOPORTE P/CHAPETON"
"0000500031","1-03-1319-5013","TORNILLO ALLEN 1/4""-20 UNC x 3/4"" LONG"
"0000500031","1-04-0003-5013","TORNILLO HEX. 3/8""-16 UNC-2A X 3/4"""
"0000500031","1-04-0012-5013","TORNILLO 10-24 UNC-2A X 1/2"" (NIQ.)"
"0000500031","1-04-0028-5006","RONDANA DE PRESIÓN 3/8"""
"0000500031","1-04-0054-5013","TORNILLO 8-32UNC-2A X 3/8"""
"0000500031","1-04-0071-5013","TORNILLO HEX. 5/16-18 UNC-2A X 13/16"""
"0000500031","1-04-0222-5013","TORNILLO PHILLIPS 10-24 UNC x 3/8 LONG."
"0000500031","1-05-0047-5013","PIJA 8-18 TIPO A X 1.5"""
"0000500031","1-05-0074-5006","RONDANA PRESIÓN 5/16"""
"0000500031","1-05-0126-5013","TORNILLO 3/8-16 UNC-2A X 1.5"" GAV."
"0000500031","1-05-0151-5006","TAQUETE PLOMO # 3"
"0000500031","1-05-0190-5006","REMACHE 1/8""X3/8"""
"0000500031","1-05-0225-5013","OPRESOR ALLEN 8 - 32 UNC X 0.19"""
"0000500031","1-05-0399-5013","TORNILLO M4x0.7 x 11.5 mm LONG."
"0000500031","1-05-0411-5013","TORNILLO FIJADOR 10-24 UNC-2A X 1-3/4"""
"0000500031","1-05-0431-5006","LLAVE ALLEN 5/64"""
"0000500031","1-05-0432-5013","TORNILLO 10-24 UNC-2A X 1/4"""
"0000500031","1-05-0522-5013","TORNILLO ALLEN 4-40 UNC-2A X 1/4"" INOX."
"0000500031","1-05-0643-5013","TORNILLO PHILLIPS 10-24 UNC-2A"
"0000500031","1-05-0651-5013","TORNILLO M5 X 0.8"
"0000500031","1-05-0713-5020","RONDANA"
"0000500031","1-05-0727-5013","TORNILLO 10-24 UNC -2A X 1 3/4"""
"0000500031","1-05-0795-5013","TORN.LAT. TIPO AB CABEZA PLANA 8-18X5/8"
"0000500031","1-05-0961-5013","OPRESOR ALLEN AC. INOX. 1/4-20 X 5/8"""
"0000500031","1-05-0996-5006","TUERCA CUADRADA 10-24 UNC"
"0000500031","1-05-1004-5006","RONDANA N° 10 P/INTECEPTOR DE GRASA"
"0000500031","1-05-1051-5006","REMACHE MACIZO"
"0000500031","1-05-1053-5013","TORNILLO HEXAGONAL 5/16""-18 UNC"
"0000500031","1-05-1054-5006","RONDANA METÁLICA"
"0000500031","1-05-1395-5003","INSTRUCTIVO DE INSTALACIÓN TV-061"
"0000500031","1-05-1442-5013","TORNILLO M5x2-3/4"" CABEZA PLANA (LATON)"
"0000500031","1-05-1540-5013","PIJA CABEZA PLANA # 10 - 16 X 1"""
"0000500031","1-05-2016-5013","TORNILLO M5x0.8"
"0000500031","1-06-0015-5013","TORNILLO 8-32 UNC-2A X 1/2"""
"0000500031","1-06-0180-5006","TUERCA HEX. NO.10-24 NC"
"0000500031","1-06-0333-5013","TORNILLO 8-32 UNC-2A  X 3/16"""
"0000500031","1-06-0403-5013","TORNILLO 8-18 TIPO BT X 1/2"""
"0000500031","1-06-0525-5013","TORNILLO ALLEN 5-40 X ¼"""
"0000500031","1-06-0552-5013","TORNILLO 8-32 UNC X 1¼"""
"0000500031","1-06-0888-5013","TORNILLO ALLEN CAB. PLANA 10-24 x 1"""
"0000500031","1-06-0942-5013","ESPARRAGO 5/8""-11"
"0000500031","1-06-0946-5013","TORNILLO DE 1/2"" X 3"""
"0000500031","1-06-0975-5013","TORNILLO HEX. 5/8""-11 UNC X 1.250"" LONG."
"0000500031","1-07-0025-5013","TORNILLO CABEZA DE CRUZ 1/4-20 UNC-2Ax3"""
"0000500031","1-07-0042-5013","TORNILLO PHILLIPS 10-24 UNC-2A x 2"""
"0000500031","1-07-0046-5013","PIJA TIPO PHILIPS TIPO B x 3/4"""
"0000500031","1-07-0105-5013","TORNILLO 10-24 UNC-2A  X 1/2"""
"0000500031","1-07-0106-5013","OPRESOR ALLEN 8-32 UNC -2A X 1/8"""
"0000500031","1-07-0107-5013","OPRESOR ALLEN 8-32 UNC-2A  X 1/4"""
"0000500031","1-07-0194-5013","TORNILLO OVAL 10-24 UNC-2A  X  .896"""
"0000500031","1-07-0268-5013","TORNILLO PHILLIPS 10-24 X 2.5"""
"0000500031","1-07-0273-5013","TORNILLO PHILLIPS 10-24 2 1/4"""
"0000500031","1-07-0394-5003","GUIA DE INSTALACION TR-036"
"0000500031","1-07-0559-5013","TORNILLO PHILLIPS 10-24 X 2-1/2"""
"0000500031","1-07-0846-5013","PIJA TIPO PHILIPS TIPO B x 7/8"""
"0000500031","1-08-0655-5013","TORNILLO M5 X 0.8 X 2-3/4"" CABEZA PLANA"
"0000500031","1-09-0938-5013","TORNILLO CAB.REDONDA 8-32 UNC x5/8"" LONG"
"0000500032","0-01-0098-5000","ALAM. LAT. NO.16  0.065"""
"0000500032","0-01-0099-5000","ALAM. LAT. NO.14  0.083"""
"0000500032","0-01-0405-5000","BARRA DE AC. INOX. Ø 7/16"""
"0000500032","0-01-0406-5000","BARRA DE ACERO INOXIDABLE Ø1.00"""
"0000500032","0-01-0450-5000","BARRA CUADRADA DE AC. INOX. 5/16"""
"0000500032","0-01-0453-5000","BAR. HUECA AC. INOX. 50MM/36MM"
"0000500032","0-01-0454-5000","BAR. HUECA AC. INOX. 50MM/32MM"
"0000500032","0-02-0150-5000","SOLERA AC. INOX. 1/4"" X 1/2"""
"0000500032","0-03-0103-5000","TUBO AC. INOX. Ø2"" X 0.049"" ESP."
"0000500032","0-04-0101-5000","LAM. AC. INOX. No. 14  36"" X 96"""
"0000500032","0-04-0102-5000","LAM. AC. INOX. No. 18  330 X 1343"
"0000500032","0-04-0104-5000","LAM. AC. INOX. No.20 27.007""X99.370"""
"0000500032","0-04-0107-5000","LAM. AC. INOX. No. 28 2.050"" X ROLLO"
"0000500032","0-04-0120-5000","LAMINA AC. INOX. No. 24   4' X 10'"
"0000500033","3-08-0064-5050","BARRA 1-1/4X810X350  I.BR.C /CHAP."
"0000500033","3-08-0068-5050","BARRA 1-1/4X1015X510 BR. C /CHAP."
"0000500033","3-08-0068-5051","BARRA 1-1/4X1015X510 SATINADA C /CHAP."
"0000500033","MB-068","BARRA SEG ANG 510MM CCHAP AIBR"
"0000500033","MB-068/S","BARRA SEG ANG 510MM CCHAP AI"
"0000500035","1-02-2271-5012","O'RING 18 x 2.2mm"
"0000500035","2-02-1012-5054","VAL-VEX  V   DERECHO"
"0000500035","2-02-1044-5054","VAL-VEX MEDIA VUELTA FLUSH"
"0000500035","2-02-1114-5054","VAL-VEX  V   IZQUIERDO"
"0000500035","2-02-1343-5054","VAL-VEX II-A IZQUIERDO"
"0000500035","2-02-1344-5054","VAL-VEX II-A DERECHO"
"0000500035","2-05-0501-5050","VALVEX ARM. P/SALIDA DE TINA 1/4 VUELTA"
"0000500035","2-12-1012-5054","VAL-VEX  V   DERECHO (LL)"
"0000500035","2-12-1114-5054","VAL-VEX  V   IZQUIERDO (LL)"
"0000500036","BIM-01","BIDET CUAD P MON B"
"0000500036","BIM-02","BIDET P MON B"
"0000500036","BIM-03","BIDET RED P MON B"
"0000500036","IF-01","TZA FLUX TREXP C CUBREPIJA EVAN B"
"0000500036","LAV-01","LAV SOBREPONER RED CREB ANNI B"
"0000500036","LAV-01-M","LAV SOBREPONER RED CREB ANNI M"
"0000500036","LAV-02","LAV SOBREPONER LRG SREB ALTEA B"
"0000500036","LAV-02-M","LAV SOBREPONER LRG SREB ALTEA M"
"0000500036","LAV-03","LAV BAJO CUBIERTA GDE CREB CARDO B"
"0000500036","LAV-03-M","LAV BAJO CUBIERTA GDE CREB CARDO M"
"0000500036","LAV-04","LAV SOBREPONER CUAD FTE GDE CREB LILAH B"
"0000500036","LAV-04-M","LAV SOBREPONER CUAD FTE GDE CREB LILAH M"
"0000500036","LAV-05","LAV SOBREPONER FUENTE GDE CREB CASSIA B"
"0000500036","LAV-05-M","LAV SOBREPONER FUENTE GDE CREB CASSIA M"
"0000500036","LAV-06","LAV BAJO CUBIERTA CH CREB MALVA B"
"0000500036","MGL-01","MING CASC C CESPOL ANCLA Y PIJAS B"
"0000500036","MOP-01","WC ONEPIECE TREXP ECOL 3Y6L NARI B"
"0000500036","MOP-01-M","WC ONEPIECE TREXP ECOL 3Y6L NARI M"
"0000500036","MOP-02","WC ONEPIECE TR OC ECOL 3Y6L VERA B"
"0000500036","MOP-02-M","WC ONEPIECE TR OC ECOL 3Y6L VERA M"
"0000500036","MOP-03","WC ONEPIECE TR SEMIOC ECOL 3Y6 LAILA B"
"0000500036","MOP-03-M","WC ONEPIECE TR SEMIOC ECOL 3Y6 LAILA M"
"0000500036","MOP-04","WC ONEPIECE TR OC ECOL 3Y6L TALAS B"
"0000500036","MOP-04-M","WC ONEPIECE TR OC ECOL 3Y6L TALAS M"
"0000500036","SAN-002","ASIENTO CIERR STD P WC MOP02 B"
"0000500036","SASC-134","ASIENTO SLOW CLOSE P WC MOP01 03 04 B"
"0000500036","SASC-134-M","ASIENTO CIERR LENT CDO ELONG M"
"0000500036","STT-M01","TAPA P TNQ MOP01 B"
"0000500036","STT-M01-M","TAPA P TANQUE WC MOP01 M"
"0000500036","SVAD-M01","VALV ADMISION Y DESCARGA P WC MOP01"
"0000500036","SVAD-M02","VALV ADMISION Y DESCARGA P WC MOP02"
"0000500036","SVAD-M03","VALV ADMISION Y DESCARGA P WC MOP03"
"0000500036","SVAD-M04","VALV ADMISION Y DESCARGA P WC MOP04"
"0000500036","VD2","VALV DBL DESCARGA ECOL 3Y6L"
"0000500037","1-02-1819-5013","TUERCA TIPO MARIPOSA CDA. 10-24"
"0000500039","0-80-1028-5000","ARENA SILICA P/MAQ. CORTE POR AGUA"
"0000500040","0-80-0248-5000","PERMATEX EN TUBO NO.1"
"0000500040","0-80-1040-5000","SELLADOR ANAERÓBICO (262 REF.)"
"0000500041","1-05-0509-5026","CONECTOR 1/2"" A 1/4"""
"0000500041","1-05-0523-5026","CONECTOR DE 1/2"" A 3/8"""
"0000500041","1-05-0537-5026","CONECTOR 1/4"" MACHO A 3/8"" HEMBRA"
"0000500042","3-08-0004-5030","LLAVE MANGUERA DE 13MM CROMO"
"0000500042","3-08-0111-5030","LLAVE TERMINAL 13MM. SIN PULIR"
"0000500042","3-08-0122-5030","MEZCLADORA P/FREGADERO DE PARED"
"0000500042","3-08-0124-5030","TRAMPA P/LAVABO P.V.C."
"0000500042","3-08-0129-5030","LLAVE CONTROL ROSC 25-1"
"0000500042","3-08-0130-5050","MAXIF. AC. INOX. SANITARIO 67 M"
"0000500042","3-08-0135-5030","PALANCA W.C. AC. LATÓN"
"0000500042","3-08-0136-5030","LLAVE FREG.C/NIPLE EXT.Y MANERAL ACUARIO"
"0000500042","3-08-0137-5030","LLAVE FREGADERO C/NIPLE EXT. Y CHAPETÓ"
"0000500042","3-08-0151-5030","TRAMPA P/LAVABO LATON C/REGISTRO CONTRA"
"0000500042","3-08-0153-5030","TRAMPA P/FREGADERO P.V.C."
"0000500042","3-08-0155-5030","TRAMPA P/LAVABO O FREG. C/REG. S/CONTRA"
"0000500042","3-08-0166-5030","LLAVE INDIVIDUAL P/LAVABO MOD. TAURO"
"0000500042","3-08-0174-5030","CONTRA CANASTA PLAST. C/CUBIERTA AC.INOX"
"0000500042","3-08-0214-5030","RESUMIDERO CUADRADO METALICO 4"" X 4"""
"0000500042","3-08-0222-5030","TRAMPA P/LAVABO S/CONTRA C/REGISTRO"
"0000500042","3-08-0232-5030","LLAVE DE EMPOT.ROSCAR 13MM MANERAL ACRIL"
"0000500042","3-08-0233-5030","EXTENSIÓN FLEX. P/LAVABO O FREGADERO PVC"
"0000500042","3-08-0829-5030","SALIDA CENT.DOBLE TARJA P/FREG.LATÓN CR."
"0000500042","3-08-0830-5030","LLAVE ESFERA CON ROSCA P/MANGUERA 2-IM"
"0000500042","3-08-0834-5030","MEZCLADORA P/FREGADERO 8-I"
"0000500042","3-08-0910-5030","CONTRA P/FREG. AC. INOX. C/TUBO DE LATÓN"
"0000500042","3-08-0913-5030","LLAVE ESFERA C/ROSCA P/MANGUERA 13MM."
"0000500042","3-08-0916-5030","TRAMPA P/FREG.S/CONTRA C/REGISTRO CROMAD"
"0000500042","3-08-0935-5030","REGADERA GENOVA CHORRO FIJO C/LLAVE Y CH"
"0000500042","3-08-0937-5030","CONTRA P/LAVABO PLASTICO"
"0000500042","3-08-0942-5030","CUBRETALADROS LISO ACERO INOX."
"0000500042","3-08-0957-5030","LLAVE DE CONTROL PARA COBRE DE ½"""
"0000500042","3-08-1080-5030","BRIDA P/ CORTINERO EN PLASTICO"
"0000500042","MB-004","LLAV MANG D 13MM CR"
"0000500042","MB-1080","BRIDA P CORTINERO PLASTICO"
"0000500042","MB-122","MZC FREG PARED CR"
"0000500042","MB-124","TR LAV PVC B"
"0000500042","MB-125","CESPOL LAV LATON SCTRA CR"
"0000500042","MB-129","LLAV D CTRL ROSCAR CR"
"0000500042","MB-130","MAXIFLEX 1/2""X7/8""X35CM SANITARIO"
"0000500042","MB-131","MAXIFLEX AI LAV CR"
"0000500042","MB-136","LLAV FREG NPL EXT Y MAN ACUARIO CR"
"0000500042","MB-1373","CTRA HORIZ P TINA PVC CR"
"0000500042","MB-141","MZC LAV TJ TAURO CR"
"0000500042","MB-1444","CESPOL LAV CREG CTRAREJ SREB CR"
"0000500042","MB-149","LLAV TERMINAL 13MM CR"
"0000500042","MB-153","TRAMPA FREG PVC B"
"0000500042","MB-154","CINTA TEFLON 1/2""X260 B"
"0000500042","MB-155","TRAMPA LAV O FREG CREG SCTRA B"
"0000500042","MB-161","SPUD P MING C EMPAQUE 38MM CR"
"0000500042","MB-166","LLAV INDIV P LAV TAURO CR"
"0000500042","MB-174","CTRACANASTA PLASTICA C CUBIERTA B"
"0000500042","MB-2055","CANAL PARA DUCHA 80CM ELECTROPULIDO"
"0000500042","MB-2056","CANAL PARA DUCHA 1M ELECTROPULIDO"
"0000500042","MB-2057","REJILLA BANDERA LINEAL 1M ELECTROPULIDO"
"0000500042","MB-2058","REJILLA QUADRATO 80CM ELECTROPULIDO"
"0000500042","MB-2059","CHAROLA INSERTO CERAMICO ELECTROPULIDO"
"0000500042","MB-2182","51MM.VALVULA DE ESFERA ROSCAR F.R."
"0000500042","MB-222","TR LAV CREG SCTR CR"
"0000500042","MB-223","BRIDA P MING"
"0000500042","MB-225","CARTUCHO P TEMPORIZ 41031285 TR"
"0000500042","MB-226","CONECTOR CESPOL HULE 38MM"
"0000500042","MB-232","LLAV EMP ROSCAR 13MM CR"
"0000500042","MB-249","VALV COMPUERTA ROSCAR 3/4"""
"0000500042","MB-255","SAL CTRAL P DBL TARJA PVC B"
"0000500042","MB-290","DESV Y TAPON C VALV CHECK CR"
"0000500042","MB-795","JGO D FIJACION TZA TNQ"
"0000500042","MB-829","TUBO UNION P CTRACANASTA DBL TARJA CR"
"0000500042","MB-909","MANGUERA GOMA 10M C CHIFLON TR"
"0000500042","MB-910","CTRA FREG AI CTUBO CR"
"0000500042","MB-913","LLAV ESFERA C ROSCAR P MANG 13MM"
"0000500042","MB-935","REG BR Y CHAP CHF VENECIA CR"
"0000500042","MB-936","CTRAREJ FREG PLASTICO"
"0000500042","MB-937","CTRA LAV PLASTICO B"
"0000500042","MB-942","CUBRETALADROS FREG LISO AI"
"0000500042","MB-946","LLAV P MING C RESORTE CR"
"0000500042","MB-956","LLAV IND FREG MAN 7F TAURO CR"
"0000500042","RB-101","SOPORTE Y TORN P LAV CR"
"0000500042","RB-233","PLASTIFLEX LAV 25 P"
"0000500042","RB-300","PIJAS P WC"
"0000500042","RB-301","JUNTAS SELLADORAS P WC"
"0000500042","RB-494","MANG MAXIFLEX P FREG 1/2X1/2X55CM"
"0000500042","RB-506","CONECT CESPOL 2""X1 1/4"
"0000500042","RB-518","MAXIFLEX 3/8X1/2X40CMS P LAV"
"0000500042","RB-534","NPL P INSTALACION D 1/2""X2"" CR"
"0000500042","RB-535","TUBO P INSTALACION 1""X4"" CR"
"0000500042","RB-550","CTRA P TZA 38MM BRONCE"
"0000500042","S11200012E07","Spud para TZF-1 kit (obsoleto)"
"0000500042","S14200032E08","Spud para MG-1 Kit(0)"
"0000500042","S14200032E09","Brida de descarga p/ming prov.ext.(o)"
"0000500042","SB-300","SPUD C EMPAQ TUERC"
"0000500042","SB-500","SPUD P MING 19 MM C EMPAQ"
"0000500042","SB-793","CTRA P TZA 32MM"
"0000500042","SB-796","TR P LAV LATON S CTRA"
"0000500043","1-02-0617-5016","RONDANA NEOPRENO 1 1/2"" DIA. INT."
"0000500043","1-02-0972-5008","EMPAQUE HULE P/CUERPO MEZCLADORA"
"0000500043","1-02-0973-5008","SELLO P/TUBO CESPOL FREG. TV-030"
"0000500043","1-02-1071-5008","EMPAQUE CUBRETALADROS E-34"
"0000500043","1-02-1080-5008","RONDANA DE HULE"
"0000500043","1-02-1195-5008","EMPAQUE SELLO"
"0000500043","1-02-1382-5008","EMPAQUE PARA HM'S"
"0000500043","1-02-1385-5008","EMPAQUE P/HM'S DE 8"""
"0000500043","1-02-1854-5008","EMPAQUE POSTERIOR SALIDA VERTIKA"
"0000500043","1-02-1855-5008","SEPARADOR DE VARILLA CON BOTON"
"0000500043","1-02-1867-5008","EMPAQUE PARA TAPA ACUEDUCTO"
"0000500043","1-02-1868-5008","EMPAQUE SALIDA ACUEDUCTO"
"0000500043","1-02-1887-5008","EMPAQUE PARA SALIDA VERTIKA"
"0000500043","1-02-1946-5008","SELLO PARA CONTRA PUSH"
"0000500043","1-02-1964-5008","EMPAQUE SELLO CILINDRICA"
"0000500043","1-02-2123-5008","EMPAQUE AMORTIGUADOR PARA E-906"
"0000500043","1-02-2207-5008","EMPAQUE SUPERIOR P TAPA ACUEDUCTO DE PAR"
"0000500043","1-02-2217-5008","EMPAQUE PARA SALIDA VERTIKA"
"0000500043","1-02-2251-5008","EMPAQUE PARA SALIDA VERTIKA E-3007"
"0000500043","1-02-2623-5008","EMPAQUE SELLO SALIDAS ELITE/EUROPEA"
"0000500043","1-02-2687-5008","SELLO REDONDO TORNILLO E-300"
"0000500043","1-02-2690-5008","EMPAQUE CONICO P/SELLO SALIDA"
"0000500043","1-02-2715-5008","RONDANA DE HULE Ø 0.900"""
"0000500043","1-02-2756-5008","EMPAQUE P/BOQUILLA DE AIREADOR"
"0000500043","1-02-2848-5008","EMPAQUE PLACA DE SUJECION M-1001"
"0000500043","1-02-3003-5008","EMPAQUE PLANO PARA H-13341G"
"0000500043","1-03-1064-5016","RONDANA ANTIFRICCIÓN P/POMO DOBLE"
"0000500043","1-04-0066-5008","EMPAQUE P/TAPA EXTERIOR P/VÁLVULA 1176"
"0000500043","1-05-0032-5008","EMPAQUE P/SALIDA CONTEMPO"
"0000500043","1-05-0154-5008","JUNTA HULE C.I.G."
"0000500043","1-05-0724-5008","EMPAQUE CHAPETÓN OVALADO"
"0000500043","1-05-0810-5008","EMPAQUE SELLO TAPA CESPOL"
"0000500043","1-05-0840-5008","RONDANA DE ELECTROVALVULA"
"0000500043","1-05-0874-5008","SELLO DE PERFIL EN U DE 25"""
"0000500043","1-05-1014-5008","EMPAQUE P/CHAPETÓN CUADRADO AI"
"0000500043","1-05-1015-5008","EMPAQUE P/CHAPETÓN CILÍNDRICO AI"
"0000500043","1-05-1019-5008","EMPAQUE PARA BASE LOGOTIPO"
"0000500043","1-05-1225-5008","SELLO DE PERFIL BLANDO PARA IG-20"
"0000500043","1-05-1277-5008","SELLO CONICO PUSH TV-120"
"0000500043","1-05-1290-5008","EMPAQUE INF. BASE SALIDA CAPACITIVA"
"0000500043","1-05-1291-5008","EMPAQUE SUP. BASE SALIDA CAPACITIVA"
"0000500043","1-05-1294-5008","EMPAQUE TUERCA REDUCTOR"
"0000500043","1-05-1457-5008","EMPAQUE PARA CHAPETON CILINDRICO AC. INO"
"0000500043","1-05-1465-5008","SELLO PARA CHAPETÓN EXPLORA E-59"
"0000500043","1-05-1490-5008","EMPAQUE MONOM. C/DESVIADOR EXPLORA"
"0000500043","1-05-1622-5008","SELLO DE PERFIL BLANDO P/INTERC. PLASTIC"
"0000500043","1-05-1917-5008","SELLO CARTUCHO BAJA PRESIÓN"
"0000500043","1-05-2007-5008","SELLO DE CARTUCHO MONOM. DE BP"
"0000500043","1-06-0024-5008","SELLO PARA PALANCA FLUXOMETRO"
"0000500043","1-06-0484-5016","EMPAQUE P/TAPA BATERIA CARGA"
"0000500043","1-06-0739-5008","EMPAQUE SPUD 38 mm"
"0000500043","1-07-0552-5008","EMPAQUE PARA REGADERA VERTIKA"
"0000500043","1-07-0569-5008","EMPAQUE PARA JET LATERAL"
"0000500043","1-07-0570-5008","SELLO DESLIZABLE CHAP. MON. REG. 40 mm"
"0000500043","1-07-0586-5008","SELLO PARA COPLE 1/2""-NPSM"
"0000500043","1-07-0588-5008","RONDANA P/COLUMNA DE DUCHA"
"0000500043","1-08-0635-5008","EMP. BASE P/ MONOMANDO LINEA CILINDRICA"
"0000500044","0-01-0003-5000","BAR. LAT. RED.  3/16"""
"0000500044","0-01-0005-5000","BAR. LAT. RED.  1/4"""
"0000500044","0-01-0006-5000","BAR. LAT.  RED. 5/16"""
"0000500044","0-01-0007-5000","BAR. LAT. RED.  3/8"""
"0000500044","0-01-0008-5000","BAR. LAT. RED. 13/32"""
"0000500044","0-01-0010-5000","BAR. LAT. RED. 7/16"""
"0000500044","0-01-0100-5000","BAR. LAT. CUAD. 1/4"""
"0000500044","0-01-0101-5000","PERFIL DE LATON CUADRADO 1/2"""
"0000500044","0-01-0102-5000","BAR. LAT. CUAD. 3/4"""
"0000500044","0-01-0121-5000","BAR. LAT. HEX. 1/4"""
"0000500044","0-01-0122-5000","BAR. LAT. HEX. 7/16"""
"0000500044","0-01-0123-5000","BAR. LAT. HEX. 1/2"""
"0000500044","0-01-0125-5000","BAR. LAT. HEX. 3/4"""
"0000500044","0-01-0162-5000","ALAM. LAT. S/D ø3/16"""
"0000500044","0-02-0001-5000","SOLERA LAT. S/D 1/8"" X 3/8"""
"0000500044","0-02-0058-5000","SOLERA DE LATON 1/4"" X 3"""
"0000500044","0-03-0001-5000","TUBO COB. L FLEX. 5/16"""
"0000500044","0-03-0002-5000","TUBO  COBRE ""L"" FLEX. 1/2"" X 0.040"""
"0000500044","0-03-0003-5000","TUBO LAT. S 3/8""X.035"""
"0000500044","0-03-0005-5000","TUBO LAT. S 1/2""X.032"""
"0000500044","0-03-0006-5000","TUBO LAT. D. 1/2""X0.049"""
"0000500044","0-03-0007-5000","TUBO LAT. D. 1/2"" X 0.065"""
"0000500044","0-03-0008-5000","TUBO LAT. S. 5/8""X0.048"""
"0000500044","0-03-0010-5000","TUBO LAT. S.  0.676"" INT.X 0.037"""
"0000500044","0-03-0011-5000","TUBO LAT. CUAD. S. 3/4"" X 3/4"" X 0.035"""
"0000500044","0-03-0012-5000","TUBO LAT. D. 3/4"" X 0.037"""
"0000500044","0-03-0013-5000","TUBO LAT. D. 3/4"" X 0.049"""
"0000500044","0-03-0014-5000","TUBO LAT. S. 3/4"" X 0.062"""
"0000500044","0-03-0015-5000","TUBO LAT. D. 0.800"" X 0.0275"""
"0000500044","0-03-0016-5000","TUBO LAT. D. 0.812"" X 0.032"""
"0000500044","0-03-0017-5000","TUBO LAT. S. 7/8"" X 0.032"""
"0000500044","0-03-0018-5000","TUBO LAT. D.  0.812"" X 0.100"""
"0000500044","0-03-0019-5000","TUBO LAT. S.  13/16"" X 0.065"""
"0000500044","0-03-0020-5000","TUBO LAT. D 1""X.031"""
"0000500044","0-03-0022-5000","TUBO LAT. D 1 1/16"" X.14"""
